tahun,bulan,nilai,berat
2000,January,2169000000,5497000000
2000,February,2120000000,5053000000
2000,March,2265000000,5504000000
2000,April,2339000000,5682000000
2000,May,2384000000,5364000000
2000,June,2473000000,5395000000
2000,July,2687000000,5560000000
2000,August,3237000000,6081000000
2000,September,3446000000,6018000000
2000,October,3488000000,5910000000
2000,November,3574000000,6142000000
2000,December,3332000000,5183000000
