tahun,bulan,nilai,berat
2001,January,2941000000,5099000000
2001,February,3177000000,5943000000
2001,March,3094000000,6249000000
2001,April,2916000000,5722000000
2001,May,2913000000,6380000000
2001,June,2703000000,5342000000
2001,July,2453000000,5449000000
2001,August,2349000000,5114000000
2001,September,2133000000,4912000000
2001,October,2079000000,4952000000
2001,November,2117000000,5085000000
2001,December,2085000000,5320000000
